title,website,operator_address,acc_address,cons_address,percent_power,power,self_stake,fee,blocks_proposed,delegators,power_24_change,governance_votes
Stakecito,,cosmosvaloper1k2d9ed9vgfuk2m58a2d80q9u6qljkh4vfaqjfq,cosmos1k2d9ed9vgfuk2m58a2d80q9u6qljkh4vvf589n,E070FA4F050BAF7EA2761C52A6A5715780681939,0.32,595223.508274,670,0.05,6453,4733,-87.816798,10
Allnodes ⚡️ 0% fee,https://www.allnodes.com/atom/staking,cosmosvaloper1n229vhepft6wnkt5tjpwmxdmcnfz55jv3vp77d,cosmos1n229vhepft6wnkt5tjpwmxdmcnfz55jv5c4tj7,25445D0EB353E9050AB11EC6197D5DCB611986DB,0.31,588380.9966455480965847,1.000100010000689,0,11874,7964,1768.136226,0
pe4x72, ,cosmosvaloper1rwh0cxa72d3yle3r4l8gd7vyphrmjy2kpe4x72,cosmos1rwh0cxa72d3yle3r4l8gd7vyphrmjy2kydpnje,C2356622B495725961B5B201A382DD57CD3305EC,0.31,581888.879572,100000,0.2,142729,1058,-66.794794,3
Citizen Cosmos,https://www.citizencosmos.space/,cosmosvaloper1e859xaue4k2jzqw20cv6l7p3tmc378pc3k8g2u,cosmos1e859xaue4k2jzqw20cv6l7p3tmc378pc5znax0,78F1D7A9773FC922739E0A3705A7CA06BEA30883,0.29,547323.3484051081167499,49.277,0.12,14742,303,60.220002,26
Ping.pub,https://ping.pub,cosmosvaloper1jxv0u20scum4trha72c7ltfgfqef6nsch7q6cu,cosmos1jxv0u20scum4trha72c7ltfgfqef6nscj25050,3363E8F97B02ECC00289E72173D827543047ACDA,0.29,541156.727422,15368,0.08,26455,185,45.6,21
Blockdaemon,https://blockdaemon.com/node-marketplace/#staking,cosmosvaloper10nzaaeh2kq28t3nqsh5m8kmyv90vx7ym5mpakx,cosmos10nzaaeh2kq28t3nqsh5m8kmyv90vx7ym304g64,6CB47D786B2F350C13A60BB77D398AC82E900985,0.28,526425.908157243330012,12662.5581640410408047,0.06,8049,267,98.618502,11
🇨🇭 Vortex.live 🟢,https://vortex.live,cosmosvaloper1gxju9ky3hwxvqqagrl3dxtl49kjpxq6wlqe6m5,cosmos1gxju9ky3hwxvqqagrl3dxtl49kjpxq6w65d0h8,2C2A5E9B9EF903164FA2BD3F140571DDF02A00CC,0.28,530611.195866,1,0.1,8880,80,-1336,14
Compass,http://val.network/,cosmosvaloper1ff0dw8kawsnxkrgj7p65kvw7jxxakyf8n583gx,cosmos1ff0dw8kawsnxkrgj7p65kvw7jxxakyf8kqnyy4,808D6B054A0B6D3FF5F5EAF0A65CFC64C543F833,0.27,511554.1887393459846893,15269.0882138277774429,0.1,30577,210,69.625292,30
StakeWithUs,https://stakewith.us,cosmosvaloper1jlr62guqwrwkdt4m3y00zh2rrsamhjf9num5xr,cosmos1jlr62guqwrwkdt4m3y00zh2rrsamhjf9kg0p2s,1AE0BD432F9A5122474A646325D1AFA6068692E9,0.27,509453.856536,1,0.09,38705,464,-4864.6,24
HyperblocksPro,https://hyperblocks.pro/,cosmosvaloper1ul2me6vukg2vac2p6ltxmqlaa7jywdgt8q76ag,cosmos1ul2me6vukg2vac2p6ltxmqlaa7jywdgtz5203m,49BBFB1BA1A75052E3226E8E1E0EFEB33918B8B2,0.27,498523.8807879029198738,462458.3597751099192382,0.1,59620,252,63,4
Stakin,http://stakin.com/,cosmosvaloper1fhr7e04ct0zslmkzqt9smakg3sxrdve6ulclj2,cosmos1fhr7e04ct0zslmkzqt9smakg3sxrdve6etv27e,52E1646134432BF9532B4881C6ED32E40AE5A2DD,0.26,479667.548129,5015.397,0.05,38248,2491,-42.080064,27
Easy 2 Stake,www.easy2stake.com,cosmosvaloper1e0plfg475phrsvrlzw8gwppeva0zk5yg9fgg8c,cosmos1e0plfg475phrsvrlzw8gwppeva0zk5ygqauatt,C2DDD9700CF5DEC0457DC423829B31EA8FD4F9D4,0.26,490220.70486,6187.126666,0.1,23362,197,-10,17
Staking Fund,https://staking.fund,cosmosvaloper1000ya26q2cmh399q4c5aaacd9lmmdqp90kw2jn,cosmos1000ya26q2cmh399q4c5aaacd9lmmdqp92z6l7q,000AA5ABF590A815EBCBDAE070AFF50BE571EB8B,0.26,479418.308401,100,0.1,31329,279,31.3,23
kytzu,https://www.kytzu.com,cosmosvaloper1wtv0kp6ydt03edd8kyr5arr4f3yc52vp3u2x3u,cosmos1wtv0kp6ydt03edd8kyr5arr4f3yc52vp5g7na0,BF4CB4D59D19D451CF5E7BC49349DF4AA222D78B,0.25,477399.859121,3000,0.1,23723,91,0,27
stakezone,http://stake.zone,cosmosvaloper1lcwxu50rvvgf9v6jy6q5mrzyhlszwtjxhtscmp,cosmos1lcwxu50rvvgf9v6jy6q5mrzyhlszwtjxjlydhj,B2BF68AD4CED6FE8F71AACAD01003436EBE0729F,0.25,475433.587534,56039.874352,0,10095,576,0.546845,14
Imperator.co,https://imperator.co/,cosmosvaloper1vvwtk805lxehwle9l4yudmq6mn0g32px9xtkhc,cosmos1vvwtk805lxehwle9l4yudmq6mn0g32pxqjlrmt,0B42E47F154E24D10184BB12E32347AAC61C6B80,0.25,471220.21997,3,0.01,1774,3939,-52.537094,3
Umbrella ☔,https://umbrellavalidator.com,cosmosvaloper1lktjhnzkpkz3ehrg8psvmwhafg56kfss3q3t8m,cosmos1lktjhnzkpkz3ehrg8psvmwhafg56kfss5597tg,EBED694E6CE1224FB1E8A2DD8EE63A38568B1E2B,0.25,473750.17663,666,0.1,47954,306,0,11
syncnode,wallet.syncnode.ro,cosmosvaloper19j2hd230c3hw6ds843yu8akc0xgvdvyuz9v02v,cosmos19j2hd230c3hw6ds843yu8akc0xgvdvyu83c6xl,B543A7DF48780AEFEF593A003CD060B593C4E6B5,0.25,477391.978954,7500,0.1,26786,454,22.1,26
Sentinel,https://sentinel.co,cosmosvaloper1u6ddcsjueax884l3tfrs66497c7g86skn7pa0u,cosmos1u6ddcsjueax884l3tfrs66497c7g86skk24gr0,5AB353B748D45F20DFCE19D73BA89F26E1C34CF7,0.25,473528.6948917710771273,3.2970993996821217,0.2,30208,1317,38.364509,9
commercio.network,https://commercio.network,cosmosvaloper1fqzqejwkk898fcslw4z4eeqjzesynvrdfr5hte,cosmos1fqzqejwkk898fcslw4z4eeqjzesynvrdvhqz82,D7F7C79487C10A5CF1ABEB1DBD81E8D49757C422,0.23,437177.392039,3948,0.09,25259,165,-15,7
stake.systems,https://stake.systems,cosmosvaloper1ualhu3fjgg77g485gmyswkq3w0dp7gys6qzwrv,cosmos1ualhu3fjgg77g485gmyswkq3w0dp7gysl5km0l,25A9D452D35F12050ADEE6B31934BB85C2817D76,0.23,432440.615076,1500,0.1,14080,112,-6.9,17
cosmosgbt,,cosmosvaloper1x8rr4hcf54nz6hfckyy2n05sxss54h8wz9puzg,cosmos1x8rr4hcf54nz6hfckyy2n05sxss54h8w834fwm,399671C2FE4B2714EC6E87D4EE454EF15F33AA2A,0.22,421805.7392925379583217,2,0,26992,501,-64.973813,0
nylira.net,https://nylira.net,cosmosvaloper13sduv92y3xdhy3rpmhakrc3v7t37e7ps9l0kpv,cosmos13sduv92y3xdhy3rpmhakrc3v7t37e7psqtmrdl,A4F1D5534F3FA905A4DA606E8A10834976511FF7,0.21,398284.4882547744279679,21851.7164198497181624,0.1,45662,190,4,19
Witval,https://www.vitwit.com,cosmosvaloper1ddle9tczl87gsvmeva3c48nenyng4n56nghmjk,cosmos1ddle9tczl87gsvmeva3c48nenyng4n56kurw79,6EA863B44BA369F739E65595770DAB92C89A9212,0.2,380026.842715,9079,0.04,6768,449,503.583649,13
UbikCapital(0%Commission),ubik.capital,cosmosvaloper1q6d3d089hg59x6gcx92uumx70s5y5wadklue8s,cosmos1q6d3d089hg59x6gcx92uumx70s5y5wadntgvtr,0ABBA36C54DD0CA6A790AEF96A01D4392E36345F,0.2,382957.349987,116,0,4357,2019,14.549946,16
