time,value
1635742800,1998.720214
1635746400,39424.292239
1635750000,11242.361508
1635753600,3976.437973
1635757200,8322.179953
1635760800,5464.026461
1635764400,1033.773933
1635768000,24009.262827
1635771600,4631.843313
1635775200,5174.377507
1635778800,10935.081562
1635782400,2873.250002
1635786000,2939.776802
1635789600,5413.43152
1635793200,5294.060196
1635796800,7816.602302
1635800400,45113.59131
1635804000,5685.722288
1635807600,9843.460415
1635811200,1493.156988
1635814800,5272.286592
1635818400,2783.620812
1635822000,9520.709268
1635825600,19040.258782
1635829200,11366.147352
1635832800,8080.930018
1635836400,2090.369755
1635840000,2266.089274
1635843600,4324.148235
1635847200,4022.174609
1635850800,4428.353934
1635854400,56723.956356
1635858000,5227.372355
1635861600,4503.588541
1635865200,6967.042946
1635868800,2489.925871
1635872400,12901.578956
1635876000,2293.13361
1635879600,185634.161373
1635883200,4405.339632
1635886800,2339.023158
1635890400,9711.767062
1635894000,5463.509292
1635897600,13545.856845
1635901200,14985.824485
1635904800,13346.678724
1635908400,11115.79443
1635912000,5863.065168
1635915600,3393.391289
1635919200,3316.622387
1635922800,11884.569631
1635926400,15352.521263
1635930000,1686.25624
1635933600,1652.000086
1635937200,8656.596276
1635940800,16004.297621
1635944400,3239.37023
1635948000,3585.362334
1635951600,1722.758229
1635955200,6921.312419
1635958800,3235.701982
1635962400,2411.82317
1635966000,2312.482102
1635969600,4218.821653
1635973200,4101.91424
1635976800,3984.053294
1635980400,5297.811898
1635984000,6863.881167
1635987600,9682.642854
1635991200,2121.387623
1635994800,3655.541134
1635998400,197456.218845
1636002000,3754.776538
1636005600,20099.38949
1636009200,6712.577202
1636012800,2518.294741
1636016400,1635.537628
1636020000,537.915035
1636023600,770.78496
1636027200,4872.384178
1636030800,33193.467195
1636034400,4390.333625
1636038000,1806.069624
1636041600,12237.33083
1636045200,8440.581209
1636048800,2504.897887
1636052400,2166.271254
1636056000,3719.119879
1636059600,3975.64645
1636063200,6406.103764
1636066800,2319.82626
1636070400,1100.740451
1636074000,2440.232429
1636077600,50445.476236
1636081200,4815.124684
1636084800,1741.115708
1636088400,2325.655357
1636092000,1448.329891
1636095600,108558.805965
1636099200,9348.40915
1636102800,1485.630842
1636106400,43811.671356
1636110000,6528.828867
1636113600,6332.157949
1636117200,3594.637682
1636120800,4517.867594
1636124400,2820.381328
1636128000,1420.138907
1636131600,4071.976395
1636135200,12134.167244
1636138800,2485.802872
1636142400,403432.204976
1636146000,3955.292859
1636149600,4571.438894
1636153200,3625.50742
1636156800,5535.514288
1636160400,21137.359517
1636164000,1783.422632
1636167600,899.605004
1636171200,27361.882575
1636174800,2426.367731
1636178400,2596.262824
1636182000,10433.010125
1636185600,20878.555705
1636189200,6257.75089
1636192800,8504.081588
1636196400,7580.713722
1636200000,627439.008926
1636203600,3409622.302945
1636207200,1648605.33331
1636210800,26835.867472
1636214400,5420.886779
1636218000,61952.153035
1636221600,4731.331462
1636225200,6863.730746
1636228800,3875.286756
1636232400,5067.779261
1636236000,15219.351617
1636239600,5142.515917
1636243200,7647.07966
1636246800,7821.998743
1636250400,2217.711929
1636254000,2572.357563
1636257600,1321.296323
1636261200,946.197544
1636264800,6308.514512
1636268400,11495.533023
1636272000,4929.555261
1636275600,3910.530133
1636279200,39396.4378
1636282800,2640.118124
1636286400,10348.406146
1636290000,16925.078382
1636293600,54949.996972
1636297200,32939.06181
1636300800,12333.795523
1636304400,9315.268974
1636308000,15726.157853
1636311600,1279.566153
1636315200,2700.494649
1636318800,4833.647347
1636322400,1864.398622
1636326000,1805.978194
1636329600,2269.759778
1636333200,104915.685961
1636336800,1923.545915
1636340400,775.500677
1636344000,1415.766554
1636347600,1095.522479
1636351200,5391.496609
1636354800,5996.250713
1636358400,6099.786389
1636362000,24979.8197
1636365600,773.832905
1636369200,19591.336918
1636372800,74362.247883
1636376400,4980.278142
1636380000,6323.782359
1636383600,1169.526828
1636387200,4877.349171
1636390800,1565.893366
1636394400,21500.456468
1636398000,2510.958935
1636401600,12778.986634
1636405200,2752.722569
1636408800,2363.520391
1636412400,3625.199148
1636416000,9958.500189
1636419600,7876.32423
1636423200,4193.104442
1636426800,2440.913688
1636430400,9273.018388
1636434000,5272.074547
1636437600,3394.565889
1636441200,5695.097433
1636444800,1215.928016
1636448400,1281.990052
1636452000,2931.917924
1636455600,6978.451963
1636459200,12407.286698
1636462800,52348.116468
1636466400,1892.363209
1636470000,4545.546997
1636473600,410812.315316
1636477200,4419.110536
1636480800,27300.526077
1636484400,3456.942384
1636488000,4479.338486
1636491600,38484.551003
1636495200,21463.031433
1636498800,19296.970128
1636502400,1756.3332
1636506000,18430.495519
1636509600,2892.29767
1636513200,1541.033465
1636516800,1732.035101
1636520400,539.685359
1636524000,1976.736445
1636527600,905.110585
1636531200,1237.702821
1636534800,17296.550438
1636538400,2662.190325
1636542000,2824.876773
1636545600,1839.121814
1636549200,3833.121103
1636552800,1308.751307
1636556400,63257.949231
1636560000,2655.305747
1636563600,44100.335919
1636567200,2928.703207
1636570800,4027.759318
1636574400,1673.470344
1636578000,1829.714323
1636581600,489.907533
1636585200,5081.123677
1636588800,8870.891438
1636592400,827.548943
1636596000,47556.031318
1636599600,685.983192
1636603200,3338.398024
1636606800,540.925547
1636610400,2193.439422
1636614000,1620.574974
1636617600,1265.099535
1636621200,1450.997563
1636624800,1021.06786
1636628400,2457.705234
1636632000,583082.0771
1636635600,1655.679506
1636639200,1111.882788
1636642800,58400.505507
1636646400,1202.367312
1636650000,4175.50443
1636653600,2204.181875
1636657200,2977.615938
1636660800,4638.13065
1636664400,23599.219033
1636668000,3265.969542
1636671600,499.447789
1636675200,2194.847336
1636678800,408.39434
1636682400,1570.94766
1636686000,626.301406
1636689600,3024.65731
1636693200,1027.599688
1636696800,977.069496
1636700400,1922.673077
1636704000,746.855675
1636707600,1036.990699
1636711200,1243.924763
1636714800,1426.395173
1636718400,3113.62857
1636722000,886.61503
1636725600,19804.257589
1636729200,154982.792941
1636732800,4496.900337
1636736400,8259.688323
1636740000,2707.05259
1636743600,2941.867088
1636747200,1515.515243
1636750800,2259.549179
1636754400,1749.927273
1636758000,2357.197401
1636761600,1474.870279
1636765200,704.8362
1636768800,347.652738
1636772400,1279.002789
1636776000,14475.461699
1636779600,1219.468633
1636783200,34707.821774
1636786800,2098.183823
1636790400,1428.530768
1636794000,56212.537687
1636797600,1322.707781
1636801200,3198.004751
1636804800,594.273701
1636808400,6830.849711
1636812000,1028.110299
1636815600,1078.870631
1636819200,2014.293905
1636822800,1420.956595
1636826400,856.425788
1636830000,2454.461939
1636833600,5895.299373
1636837200,1452.048721
1636840800,40965.220152
1636844400,3552.31636
1636848000,2238.91148
1636851600,1304.28657
1636855200,707.812363
1636858800,755.350653
1636862400,279.83595
1636866000,5188.891061
1636869600,915.033795
1636873200,1330.789357
1636876800,1136.712039
1636880400,6212.152808
1636884000,794.091815
1636887600,2020.098331
1636891200,1323.461893
1636894800,67570.517717
1636898400,5080.193417
1636902000,3638.47261
1636905600,1400.187956
